Date,Total Covid Cases,MURDER & NON-NEGL. MANSLAUGHTER,PETIT LARCENY,FORGERY,ROBBERY,HARRASSMENT 2,DANGEROUS WEAPONS,FELONY ASSAULT,THEFT-FRAUD,CRIMINAL TRESPASS,BURGLARY,SEX CRIMES,ARSON,ASSAULT 3 & RELATED OFFENSES,GRAND LARCENY,DANGEROUS DRUGS,RAPE,MISCELLANEOUS PENAL LAW,VEHICLE AND TRAFFIC LAWS,UNAUTHORIZED USE OF A VEHICLE,ADMINISTRATIVE CODE,CRIMINAL MISCHIEF & RELATED OF,GRAND LARCENY OF MOTOR VEHICLE,THEFT OF SERVICES,OTHER OFFENSES RELATED TO THEF,OFF. AGNST PUB ORD SENSBLTY &,OFFENSES INVOLVING FRAUD,POSSESSION OF STOLEN PROPERTY,OFFENSES AGAINST PUBLIC ADMINI,NYS LAWS-UNCLASSIFIED FELONY,BURGLAR'S TOOLS,FRAUDS,INTOXICATED & IMPAIRED DRIVING,OFFENSES AGAINST THE PERSON,PROSTITUTION & RELATED OFFENSES,OTHER STATE LAWS (NON PENAL LA,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,KIDNAPPING & RELATED OFFENSES,PETIT LARCENY OF MOTOR VEHICLE,OFFENSES AGAINST PUBLIC SAFETY,FORTUNE TELLING,GAMBLING,ANTICIPATORY OFFENSES,ALCOHOLIC BEVERAGE CONTROL LAW,FELONY SEX CRIMES,CHILD ABANDONMENT/NON SUPPORT,DISORDERLY CONDUCT,OTHER STATE LAWS,FRAUDULENT ACCOSTING,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",JOSTLING,KIDNAPPING,UNLAWFUL POSS. WEAP. ON SCHOOL,ESCAPE 3,NEW YORK CITY HEALTH CODE,ENDAN WELFARE INCOMP,NYS LAWS-UNCLASSIFIED VIOLATION,HOMICIDE-NEGLIGENT-VEHICLE,OFFENSES RELATED TO CHILDREN
04/17/2020,3586,0,169,1,21,138,13,34,3,12,36,7,5,73,59,14,2,27,7,7,2,134,18,0,1,31,1,1,10,0,1,3,4,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
04/18/2020,2172,1,136,0,18,144,11,39,4,5,42,12,0,90,55,13,4,21,5,4,2,131,22,0,3,21,1,1,13,0,4,3,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/19/2020,2344,3,151,3,24,135,6,49,2,6,55,5,1,78,45,5,0,41,8,5,3,136,17,1,0,35,1,2,15,1,3,0,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/20/2020,3792,2,207,1,18,151,5,48,10,2,43,11,6,105,69,5,4,34,6,3,4,115,16,0,2,37,1,2,10,2,1,4,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/21/2020,3063,3,193,1,32,122,12,33,3,10,45,9,2,88,72,10,1,33,5,3,2,133,11,0,1,20,2,2,16,0,3,7,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/22/2020,3447,0,184,4,23,158,18,40,6,15,34,4,2,98,66,21,3,18,6,4,2,108,22,0,1,29,2,4,19,1,2,5,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
04/23/2020,2841,0,185,2,23,136,14,41,1,2,44,5,2,78,61,23,1,28,7,0,2,124,26,0,0,22,2,4,23,0,0,2,3,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
04/24/2020,2535,1,181,1,22,111,6,37,2,11,38,13,1,79,50,29,0,27,7,2,3,97,22,0,0,35,4,3,11,2,0,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/25/2020,1595,1,172,0,32,155,14,69,4,5,41,9,1,104,55,17,2,39,13,5,3,119,17,0,3,43,2,4,17,0,0,2,6,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
04/26/2020,1003,0,153,0,22,149,3,47,0,4,32,7,3,86,44,6,2,15,3,0,3,96,13,0,1,26,0,2,8,0,2,2,6,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
