Date,Total Covid Cases,MURDER & NON-NEGL. MANSLAUGHTER,DANGEROUS WEAPONS,PETIT LARCENY,ROBBERY,HARRASSMENT 2,OFFENSES AGAINST PUBLIC ADMINI,ASSAULT 3 & RELATED OFFENSES,FELONY ASSAULT,SEX CRIMES,GRAND LARCENY,CRIMINAL MISCHIEF & RELATED OF,OFFENSES INVOLVING FRAUD,BURGLARY,OFFENSES AGAINST THE PERSON,GRAND LARCENY OF MOTOR VEHICLE,INTOXICATED & IMPAIRED DRIVING,MISCELLANEOUS PENAL LAW,OTHER OFFENSES RELATED TO THEF,RAPE,THEFT-FRAUD,OFF. AGNST PUB ORD SENSBLTY &,DANGEROUS DRUGS,VEHICLE AND TRAFFIC LAWS,FORGERY,UNAUTHORIZED USE OF A VEHICLE,CRIMINAL TRESPASS,PETIT LARCENY OF MOTOR VEHICLE,POSSESSION OF STOLEN PROPERTY,FRAUDS,OTHER STATE LAWS (NON PENAL LA,ARSON,BURGLAR'S TOOLS,KIDNAPPING & RELATED OFFENSES,NYS LAWS-UNCLASSIFIED FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",THEFT OF SERVICES,ADMINISTRATIVE CODE,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,GAMBLING,FRAUDULENT ACCOSTING,NYS LAWS-UNCLASSIFIED VIOLATION,OFFENSES AGAINST PUBLIC SAFETY,CHILD ABANDONMENT/NON SUPPORT,ENDAN WELFARE INCOMP,FELONY SEX CRIMES,PROSTITUTION & RELATED OFFENSES,ALCOHOLIC BEVERAGE CONTROL LAW,DISORDERLY CONDUCT,ANTICIPATORY OFFENSES,JOSTLING,HOMICIDE-NEGLIGENT-VEHICLE,"LOITERING/GAMBLING (CARDS, DIC",ESCAPE 3,KIDNAPPING,OFFENSES RELATED TO CHILDREN,OTHER STATE LAWS,DISRUPTION OF A RELIGIOUS SERV,OTHER STATE LAWS (NON PENAL LAW),INTOXICATED/IMPAIRED DRIVING,OFFENSES AGAINST MARRIAGE UNCL,NEW YORK CITY HEALTH CODE
02/16/2021,3724,1,14,220,30,175,19,119,52,15,103,95,5,40,0,15,1,31,1,3,18,47,31,9,12,2,4,0,3,9,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/17/2021,3438,1,27,221,30,170,13,102,45,8,89,119,11,40,3,29,5,34,3,0,6,41,36,20,15,1,9,0,6,9,1,1,1,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/18/2021,2047,0,13,188,19,151,14,83,45,7,58,69,6,29,2,24,5,24,5,2,12,43,4,12,4,1,4,0,1,6,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/19/2021,3017,0,16,189,35,165,17,108,38,11,70,84,12,29,1,18,4,30,2,1,12,45,45,12,9,2,8,0,0,7,1,0,1,0,2,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/20/2021,2494,2,22,202,37,165,13,110,52,23,71,119,13,27,6,25,16,43,1,8,8,34,29,14,13,5,2,0,3,5,1,2,0,0,2,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/21/2021,2287,1,15,180,25,194,14,121,59,12,59,75,8,24,3,19,12,42,1,1,9,44,13,13,12,2,3,0,3,7,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
02/22/2021,3615,2,9,201,30,153,11,88,44,5,89,82,6,35,1,10,5,35,2,1,14,61,14,10,8,3,6,0,2,9,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/23/2021,3474,0,23,205,32,183,13,101,44,10,96,96,11,38,4,24,2,43,1,1,14,44,38,12,7,3,3,1,6,10,3,4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/24/2021,3460,1,16,229,42,173,20,112,52,15,85,123,11,28,5,19,5,42,2,3,11,45,54,18,20,3,4,0,7,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/25/2021,3480,1,17,224,26,205,19,99,65,11,83,127,8,37,6,18,10,37,4,3,15,62,50,12,16,2,4,0,5,6,2,5,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
